run_path,experiment_tag,dataset,method,seed,arch,class_per_task,n_tasks,n_forget,n_epochs,protect_ratio,lambda_protect,retrain_steps,request_schedule_file,final_avg_accuracy,average_forgetting,Fu,WorstDrop,Au,t_reset,t_retrain,t_forget_total,num_updated_params,overlap_s_t,overlap_s_share,overlap_s_share_crit,overlap_s_share_ratio,overlap_s_share_crit_ratio
runs/cifar100/T10_F3/pall_original/seed_0/20260423_160205,thesis_fixed_schedule_c100_v1,cifar100,pall_original,0,subnet_resnet18,5,10,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.4022857142346246,0.16199999898672104,0.037142857909202576,0.085999995470047,0.20000000298023224,0.0014133329968899488,0.17570316599449143,0.17711649899138138,1764147,2234424,1764147,1764147,0.7895309932224144,1.0
runs/cifar100/T10_F3/pall_original/seed_1/20260423_161436,thesis_fixed_schedule_c100_v1,cifar100,pall_original,1,subnet_resnet18,5,10,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.4225714249270303,0.13499999344348906,0.02914285659790039,0.06800001859664917,0.20000000298023224,0.0013806670031044632,0.17590162498527206,0.17728229198837653,1764691,2234423,1764691,1764691,0.7897748098726158,1.0
runs/cifar100/T10_F3/pall_modified/seed_0/20260426_155308,thesis_c100_bestcfg_v1,cifar100,pall_modified,0,subnet_resnet18,5,10,3,3,0.2,0.1,50,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.5588571429252625,0.08560000211000443,-0.008571428912026557,0.008000016212463379,0.20000000298023224,0.0014103749999776483,11.645636791014113,11.64704716601409,1764240,2234423,1764240,352848,0.7895729680548401,0.2
runs/cifar100/T10_F3/pall_modified/seed_1/20260426_160130,thesis_c100_bestcfg_v1,cifar100,pall_modified,1,subnet_resnet18,5,10,3,3,0.2,0.1,50,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.5322857115949903,0.0862000048160553,-0.003999986818858492,0.020000040531158447,0.1979999989271164,0.0014193750103004277,12.488007667008787,12.489427042019088,1764520,2234423,1764520,352905,0.7896982800481377,0.20000056672636185
runs/cifar100/T10_F3/pall_original/seed_0/20260423_160205,thesis_fixed_schedule_c100_v1,cifar100,pall_original,0,subnet_resnet18,5,10,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.4022857142346246,0.16199999898672104,0.037142857909202576,0.085999995470047,0.20000000298023224,0.0014133329968899488,0.17570316599449143,0.17711649899138138,1764147,2234424,1764147,1764147,0.7895309932224144,1.0
runs/cifar100/T10_F3/pall_original/seed_1/20260423_161436,thesis_fixed_schedule_c100_v1,cifar100,pall_original,1,subnet_resnet18,5,10,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.4225714249270303,0.13499999344348906,0.02914285659790039,0.06800001859664917,0.20000000298023224,0.0013806670031044632,0.17590162498527206,0.17728229198837653,1764691,2234423,1764691,1764691,0.7897748098726158,1.0
runs/cifar100/T10_F3/pall_modified/seed_0/20260426_155308,thesis_c100_bestcfg_v1,cifar100,pall_modified,0,subnet_resnet18,5,10,3,3,0.2,0.1,50,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.5588571429252625,0.08560000211000443,-0.008571428912026557,0.008000016212463379,0.20000000298023224,0.0014103749999776483,11.645636791014113,11.64704716601409,1764240,2234423,1764240,352848,0.7895729680548401,0.2
runs/cifar100/T10_F3/pall_modified/seed_1/20260426_160130,thesis_c100_bestcfg_v1,cifar100,pall_modified,1,subnet_resnet18,5,10,3,3,0.2,0.1,50,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.5322857115949903,0.0862000048160553,-0.003999986818858492,0.020000040531158447,0.1979999989271164,0.0014193750103004277,12.488007667008787,12.489427042019088,1764520,2234423,1764520,352905,0.7896982800481377,0.20000056672636185
runs/cifar100/T10_F3/derpp/seed_0/20260426_164127,thesis_c100_baselines_v1,cifar100,derpp,0,resnet18,5,10,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.544000004019056,0.1092000037431717,0.013999998569488525,0.08600002527236938,0.3580000102519989,0.0,0.0,7.2496919999830425,0,0,0,0,0.0,0.0
runs/cifar100/T10_F3/derpp/seed_1/20260426_165145,thesis_c100_baselines_v1,cifar100,derpp,1,resnet18,5,10,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.5482857142175946,0.1087999939918518,-0.008571424654551851,0.03600001335144043,0.4020000100135803,0.0,0.0,7.365586166997673,0,0,0,0,0.0,0.0
runs/cifar100/T10_F3/er/seed_0/20260426_162722,thesis_c100_baselines_v1,cifar100,er,0,resnet18,5,10,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.4725714240755354,0.16920000016689302,0.04228571483067106,0.08599996566772461,0.3499999940395355,0.0,0.0,5.568611708004028,0,0,0,0,0.0,0.0
runs/cifar100/T10_F3/er/seed_1/20260426_163450,thesis_c100_baselines_v1,cifar100,er,1,resnet18,5,10,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar100_t10_f3_seed0.json,0.5162857132298606,0.14059999883174895,0.00028571060725612885,0.030000030994415283,0.33799999952316284,0.0,0.0,5.436838291992899,0,0,0,0,0.0,0.0
